year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
1960,30720519603.00,11640430424.00,17646559124.00,1419169075.00,,0.00
1961,31133687957.00,11860657638.00,17807066586.00,1451321234.00,,
1962,31685501889.00,12153576189.00,18033400214.00,1483492484.00,,
1963,32372040185.00,12498407997.00,18341103766.00,1517103848.00,,
1964,33064036756.00,12817224640.00,18681776342.00,1549219074.00,,
1965,33773268095.00,13104547501.00,19071426851.00,1581083263.00,,0.00
1966,34520248868.00,13437309341.00,19431869511.00,1634467655.00,,
1967,35265911067.00,13717673145.00,19843415275.00,1687815582.00,,
1968,36024838167.00,13969237179.00,20297055151.00,1741145702.00,,
1969,36820819940.00,14225159551.00,20782727112.00,1795140695.00,,
1970,37628518377.00,14490184577.00,21272089500.00,1848059589.00,,0.00
1971,38455763810.00,14786450983.00,21737996406.00,1912748760.00,,
1972,39275547319.00,15070614618.00,22210907829.00,1975037940.00,,
1973,40090013659.00,15342448143.00,22692872474.00,2035300562.00,,
1974,40906854931.00,15592210923.00,23199279265.00,2095555663.00,,
1975,41707997453.00,15806945282.00,23725368816.00,2155470884.00,,0.00
1976,42495540692.00,16018539969.00,24228917911.00,2227451842.00,,0.00
1977,43279780159.00,16197427922.00,24761858803.00,2299457203.00,,0.00
1978,44077516140.00,16355224714.00,25330913065.00,2369935010.00,,0.00
1979,44894079562.00,16504125779.00,25932995229.00,2435091754.00,,0.00
1980,45720802954.00,16649446269.00,26556685467.00,2492387133.00,,187856.00
1981,46569240567.00,16809382801.00,27183826061.00,2553316492.00,,458428.00
1982,47451472882.00,16985259217.00,27837829117.00,2605246529.00,,711250.00
1983,48343803716.00,17165020874.00,28503308996.00,2651881257.00,,1029976.00
1984,49235109259.00,17340520363.00,29171412779.00,2699112911.00,,2115796.00
1985,50143808183.00,17518762933.00,29848881761.00,2751601788.00,,4858691.00
1986,51079376569.00,17765592283.00,30469283270.00,2819437840.00,,9418361.00
1987,52039010013.00,18009948900.00,31113013779.00,2890466204.00,,16545299.00
1988,53009101060.00,18250319950.00,31768127955.00,2964528630.00,,28157244.00
1989,53979833718.00,18482029410.00,32429504058.00,3041658527.00,,47666587.00
1990,54970758018.00,18708661300.00,33111782631.00,3123170555.00,,73084922.00
1991,55921422305.00,18968419142.00,33710101519.00,3215252245.00,,107003623.00
1992,56849238575.00,19171779878.00,34338260610.00,3311071582.00,,154387259.00
1993,57780273961.00,19342060452.00,35001278540.00,3408344870.00,,231136361.00
1994,58700181192.00,19493832807.00,35674840530.00,3502469668.00,,383281343.00
1995,59623720853.00,19637625564.00,36363750436.00,3592863755.00,,637503188.00
1996,60531212170.00,19721963319.00,37079845598.00,3699509800.00,,1033198738.00
1997,61440004117.00,19824947065.00,37786616977.00,3798176044.00,,1582266435.00
1998,62337852442.00,19920134205.00,38496651709.00,3892073962.00,1859688.00,2395396550.00
1999,63225681307.00,19975171413.00,39236777977.00,3987146913.00,7419759.00,3816067631.00
2000,64104837837.00,19980473326.00,40013077796.00,4085404817.00,79617459.00,5970406305.00
2001,64982765430.00,20008065459.00,40750308878.00,4198446272.00,225989880.00,8062057005.00
2002,65857498443.00,19991939026.00,41526436401.00,4313111480.00,437428306.00,10064565240.00
2003,66737107809.00,19951585974.00,42332318956.00,4427125695.00,727252558.28,12565403214.00
2004,67622665018.00,19920614428.00,43141806118.00,4534103091.00,1175418695.00,16136442324.00
2005,68514860425.00,19918551371.00,43938492730.00,4631614731.00,1680311327.00,20789051836.00
2006,69413185416.00,19972495275.00,44676901237.00,4737383094.00,2237697559.00,26472749802.00
2007,70317023023.00,20043727347.00,45411115138.00,4835574681.00,2836516410.00,33082913157.00
2008,71234348344.00,20137655568.00,46137670219.00,4932219434.00,3448590168.00,40229848448.00
2009,72159963246.00,20250201042.00,46848672997.00,5034096647.00,4036552812.00,46721453918.00
2010,73091043446.00,20377536965.00,47540172629.00,5146160420.00,4600020427.00,53815211424.00
2011,74018437063.00,20533368448.00,48181582547.00,5276113201.00,5265712256.00,60234332945.00
2012,74965224021.00,20701588530.00,48820667728.00,5415389670.00,5773214910.00,64406442270.00
2013,75929558332.00,20881027310.00,49454119781.00,5566565356.00,6202311036.00,68894384551.00
2014,76901539131.00,21061080570.00,50077635744.00,5734960901.00,6593871689.00,72471185163.00
2015,77875609617.00,21234224244.00,50689512388.00,5924211944.00,7775812433.00,74445846603.01
2016,78856789486.00,21415399498.00,51269457777.00,6144058311.00,8593157174.14,77794497168.43
